,,,"EQY_FUND_CRNCY=USD,SCALING_FORMAT=BLN",,"SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD","SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD",,,,,,,BEST_FPERIOD_OVERRIDE=1GY,,,
AWR US Equity,USD,AMERICAN STATES WATER CO,0.0,2.8,  2 ,  0 ,24.3,  2.70 ,  5.33 ,Utilities,Water Utilities,Utilities,5.0,29%,  12 ,  275 
SNV US Equity,USD,SYNOVUS FINANCIAL CORP,0.5,#N/A N/A,  4 ,  1 ,31.5,  0.82 ,  0.86 ,Financials,Banks,Banks,17.0,5%,  12 ,"  1,003 "
BK US Equity,USD,BANK OF NEW YORK MELLON CORP,3.0,#N/A N/A,  49 ,  (66),24.4,  2.28 ,  1.52 ,Financials,Capital Markets,Diversified Financials,22.0,5%,  12 ,"  1,021 "
PNR US Equity,USD,PENTAIR PLC,0.5,#N/A N/A,  7 ,  1 ,24.9,  1.87 ,  2.00 ,Industrials,Machinery,Capital Goods,17.0,56%,  12 ,  708 
NTDOY US Equity,JPY,NINTENDO CO LTD-UNSPONS ADR,#N/A N/A,#N/A N/A,  44 ,  (9),33.3,  0.62 ,#VALUE!,Communication Services,Entertainment,Media & Entertainment,2.0,64%,  12 ,  4 
WFC US Equity,USD,WELLS FARGO & CO,21.3,#N/A N/A,  249 ,  32 ,23.8,  0.56 ,  0.66 ,Financials,Banks,Banks,35.0,5%,  12 ,"  1,045 "
CAH US Equity,USD,CARDINAL HEALTH INC,1.6,4.0,  17 ,  7 ,34.6,  1.55 ,  1.26 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,18.0,340%,  12 ,  839 
STT US Equity,USD,STATE STREET CORP,13.5,#N/A N/A,  27 ,  (57),39.3,  1.98 ,  0.74 ,Financials,Capital Markets,Diversified Financials,22.0,5%,  12 ,"  1,022 "
PDCO US Equity,USD,PATTERSON COS INC,0.4,3.0,  2 ,  1 ,41.9,  1.73 ,  2.41 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,17.0,162%,  12 ,  836 
CMS US Equity,USD,CMS ENERGY CORP,-0.1,4.9,  14 ,  10 ,20.4,  2.87 ,  2.55 ,Utilities,Multi-Utilities,Utilities,18.0,30%,  12 ,  315 
FBR US Equity,BRL,FIBRIA CELULOSE SA-SPON ADR,0.8,1.4,  11 ,  4 ,20.2,  0.22 ,  (3.31),Materials,Paper & Forest Products,Materials,6.0,45%,  12 ,  407 
INDB US Equity,USD,INDEPENDENT BANK CORP/MA,0.1,#N/A N/A,  2 ,  0 ,29.3,  0.77 ,  1.29 ,Financials,Banks,Banks,4.0,5%,  12 ,  893 
LNT US Equity,USD,ALLIANT ENERGY CORP,-1.0,4.7,  11 ,  5 ,19.3,  4.31 ,  3.10 ,Utilities,Electric Utilities,Utilities,11.0,24%,  12 ,  294 
SAFM US Equity,USD,SANDERSON FARMS INC,-0.1,-0.9,  2 ,  (0),33.9,  (2.08),  4.18 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",10.0,192%,  12 ,  227 
IRM US Equity,USD,IRON MOUNTAIN INC,0.4,6.0,  9 ,  6 ,33.5,  0.86 ,  3.11 ,Real Estate,Equity Real Estate Investment,Real Estate,10.0,38%,  12 ,  337 
APA US Equity,USD,APACHE CORP,-0.2,1.8,  14 ,  7 ,44.6,  0.98 ,  (1.25),Energy,"Oil, Gas & Consumable Fuels",Energy,30.0,33%,  12 ,"  1,092 "
JPM US Equity,USD,JPMORGAN CHASE & CO,27.3,#N/A N/A,  366 ,  (127),25.2,  1.31 ,  1.06 ,Financials,Banks,Banks,32.0,5%,  12 ,"  1,042 "
CRL US Equity,USD,CHARLES RIVER LABORATORIES,0.3,3.5,  6 ,  1 ,45.5,  2.65 ,  1.40 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",18.0,64%,  12 ,  843 
WWD US Equity,USD,WOODWARD INC,0.2,3.6,  5 ,  1 ,35.1,  1.19 ,  1.22 ,Industrials,Machinery,Capital Goods,11.0,68%,  12 ,  663 
SNX US Equity,USD,SYNNEX CORP,0.1,2.3,  4 ,  1 ,46.1,  0.47 ,  1.36 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,7.0,304%,  12 ,  484 
YY US Equity,CNY,YY INC-ADR,#N/A N/A,#N/A N/A,  4 ,  (1),77.2,  0.78 ,  0.43 ,Communication Services,Interactive Media & Services,Media & Entertainment,27.0,80%,  12 ,  58 
MHK US Equity,USD,MOHAWK INDUSTRIES INC,0.3,1.6,  9 ,  3 ,89.9,  (3.20),  0.87 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,21.0,80%,  12 ,  153 
HPE US Equity,USD,HEWLETT PACKARD ENTERPRISE,-0.4,2.0,  23 ,  4 ,36.5,  2.97 ,  1.06 ,Information Technology,"Technology Hardware, Storage &",Technology Hardware & Equipmen,26.0,48%,  12 ,  572 
HST US Equity,USD,HOST HOTELS & RESORTS INC,0.0,1.9,  14 ,  3 ,27.7,  (0.80),  (2.23),Real Estate,Equity Real Estate Investment,Real Estate,21.0,46%,  12 ,  377 
SYK US Equity,USD,STRYKER CORP,1.6,1.5,  63 ,  4 ,25.2,  2.16 ,  1.99 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,30.0,61%,  12 ,  887 
WRB US Equity,USD,WR BERKLEY CORP,0.5,#N/A N/A,  9 ,  2 ,21.3,  (5.15),  3.59 ,Financials,Insurance,Insurance,12.0,31%,  12 ,  967 
CBU US Equity,USD,COMMUNITY BANK SYSTEM INC,0.2,#N/A N/A,  3 ,  0 ,26.1,  317.35 ,  3.88 ,Financials,Banks,Banks,9.0,5%,  12 ,  938 
EBS US Equity,USD,EMERGENT BIOSOLUTIONS INC,#N/A N/A,-1.8,  3 ,  (0),39.8,  0.53 ,  (7.43),Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",8.0,64%,  12 ,  784 
WY US Equity,USD,WEYERHAEUSER CO,0.7,2.8,  20 ,  5 ,39.0,  (2.84),  0.57 ,Real Estate,Equity Real Estate Investment,Real Estate,12.0,43%,  12 ,  347 
STI US Equity,USD,SUNTRUST BANKS INC,4.0,#N/A N/A,  28 ,  9 ,25.2,  2.78 ,  1.42 ,Financials,Banks,Banks,31.0,5%,  12 ,"  1,041 "
TCBI US Equity,USD,TEXAS CAPITAL BANCSHARES INC,-0.4,#N/A N/A,  3 ,  1 ,50.1,  0.83 ,  1.29 ,Financials,Banks,Banks,17.0,5%,  12 ,"  1,001 "
HPT US Equity,USD,HOSPITALITY PROPERTIES TRUST,0.4,5.0,  4 ,  4 ,21.8,  (0.60),#VALUE!,Real Estate,Equity Real Estate Investment,Real Estate,6.0,32%,  12 ,  329 
TECH US Equity,USD,BIO-TECHNE CORP,0.1,1.9,  6 ,  0 ,39.3,  2.11 ,  3.04 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",10.0,39%,  12 ,  798 
TAP US Equity,USD,MOLSON COORS BREWING CO -B,1.9,3.7,  14 ,  11 ,41.6,  (36.07),  2.35 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",20.0,36%,  12 ,  246 
FELE US Equity,USD,FRANKLIN ELECTRIC CO INC,0.1,1.1,  2 ,  0 ,36.7,  2.21 ,  1.86 ,Industrials,Machinery,Capital Goods,5.0,107%,  12 ,  622 
DTE US Equity,USD,DTE ENERGY COMPANY,0.2,4.9,  22 ,  13 ,23.0,  79.35 ,  3.76 ,Utilities,Multi-Utilities,Utilities,16.0,40%,  12 ,  305 
FCFS US Equity,USD,FIRSTCASH INC,0.2,2.0,  4 ,  0 ,31.5,  1.20 ,  1.14 ,Financials,Consumer Finance,Diversified Financials,7.0,84%,  12 ,  921 
NEOG US Equity,USD,NEOGEN CORP,0.0,-2.6,  3 ,  (0),30.2,  6.53 ,  2.90 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,7.0,68%,  12 ,  780 
TTWO US Equity,USD,TAKE-TWO INTERACTIVE SOFTWRE,0.1,-3.2,  13 ,  (1),68.8,  7.07 ,  0.60 ,Communication Services,Entertainment,Media & Entertainment,21.0,49%,  12 ,  50 
XOM US Equity,USD,EXXON MOBIL CORP,16.8,0.9,  331 ,  39 ,22.7,  0.66 ,  4.58 ,Energy,"Oil, Gas & Consumable Fuels",Energy,26.0,79%,  12 ,"  1,080 "
JCOM US Equity,USD,J2 GLOBAL INC,0.3,1.7,  4 ,  1 ,35.0,  1.46 ,  1.57 ,Information Technology,Software,Software & Services,9.0,49%,  12 ,  500 
WBS US Equity,USD,WEBSTER FINANCIAL CORP,0.7,#N/A N/A,  6 ,  2 ,33.0,  1.43 ,  1.72 ,Financials,Banks,Banks,14.0,5%,  12 ,  983 
EGN US Equity,USD,ENERGEN CORP,-0.1,1.2,  7 ,  1 ,44.2,  0.22 ,  0.15 ,Energy,"Oil, Gas & Consumable Fuels",Energy,20.0,26%,  12 ,"  1,068 "
ITT US Equity,USD,ITT INC,0.2,-0.7,  5 ,  (0),45.8,  1.11 ,  1.32 ,Industrials,Machinery,Capital Goods,14.0,72%,  12 ,  692 
ADM US Equity,USD,ARCHER-DANIELS-MIDLAND CO,-4.5,2.4,  26 ,  7 ,25.9,  3.03 ,  2.64 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",15.0,164%,  12 ,  233 
BSBR US Equity,BRL,BANCO SANTANDER BRASIL-ADS,-4.0,#N/A N/A,  41 ,  31 ,55.4,  1.46 ,  2.23 ,Financials,Banks,Banks,8.0,12%,  13 ,  934 
WTR US Equity,USD,AQUA AMERICA INC,-0.1,5.0,  6 ,  2 ,32.7,  3.90 ,  3.37 ,Utilities,Water Utilities,Utilities,11.0,13%,  13 ,  298 
IDCC US Equity,USD,INTERDIGITAL INC,0.4,-2.8,  3 ,  (1),28.1,  (38.60),  0.14 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,4.0,23%,  13 ,  468 
EXC US Equity,USD,EXELON CORP,0.7,3.3,  44 ,  34 ,18.2,  19.66 ,  11.24 ,Utilities,Electric Utilities,Utilities,22.0,30%,  13 ,  323 
SMG US Equity,USD,SCOTTS MIRACLE-GRO CO,0.2,7.0,  4 ,  2 ,41.1,  1.68 ,#VALUE!,Materials,Chemicals,Materials,7.0,92%,  13 ,  408 
NBL US Equity,USD,NOBLE ENERGY INC,-1.0,1.6,  12 ,  6 ,50.3,  0.41 ,  0.10 ,Energy,"Oil, Gas & Consumable Fuels",Energy,33.0,22%,  13 ,"  1,100 "
MDLZ US Equity,USD,MONDELEZ INTERNATIONAL INC-A,2.6,4.5,  64 ,  17 ,22.4,  7.03 ,  1.74 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",23.0,41%,  13 ,  253 
MDU US Equity,USD,MDU RESOURCES GROUP INC,-0.1,3.0,  5 ,  2 ,21.5,  1.71 ,  2.76 ,Utilities,Multi-Utilities,Utilities,6.0,69%,  13 ,  281 
AVAV US Equity,USD,AEROVIRONMENT INC,0.0,-4.8,  2 ,  (0),44.9,  5.35 ,  1.29 ,Industrials,Aerospace & Defense,Capital Goods,6.0,68%,  13 ,  626 
VIV US Equity,BRL,TELEFONICA BRASIL-ADR PREF,1.1,0.1,  20 ,  1 ,45.9,  (0.80),  6.15 ,Communication Services,Diversified Telecommunication,Telecommunication Services,15.0,42%,  13 ,  40 
BKH US Equity,USD,BLACK HILLS CORP,0.1,5.6,  4 ,  3 ,19.6,  79.15 ,  2.54 ,Utilities,Multi-Utilities,Utilities,7.0,26%,  13 ,  286 
LKQ US Equity,USD,LKQ CORP,0.4,3.5,  9 ,  3 ,32.6,  0.78 ,  1.19 ,Consumer Discretionary,Distributors,Retailing,18.0,111%,  13 ,  139 
OZK US Equity,USD,BANK OZK,0.4,#N/A N/A,  3 ,  (0),98.6,  1.90 ,  0.94 ,Financials,Banks,Banks,13.0,5%,  13 ,  974 
CGNX US Equity,USD,COGNEX CORP,0.2,-2.1,  7 ,  (0),56.9,  1.56 ,  1.21 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,12.0,61%,  13 ,  526 
ETN US Equity,USD,EATON CORP PLC,2.1,1.8,  32 ,  7 ,30.2,  1.29 ,  1.29 ,Industrials,Electrical Equipment,Capital Goods,25.0,66%,  13 ,  748 
ENIA US Equity,USD,ENEL AMERICAS SA-ADR,0.6,2.3,  10 ,  4 ,45.1,  0.32 ,  0.76 ,Utilities,Electric Utilities,Utilities,9.0,54%,  13 ,  288 
BLL US Equity,USD,BALL CORP,1.0,3.4,  17 ,  7 ,31.6,  0.88 ,  1.26 ,Materials,Containers & Packaging,Materials,14.0,69%,  13 ,  429 
GEO US Equity,USD,GEO GROUP INC/THE,0.3,6.8,  3 ,  3 ,34.3,  1.82 ,  1.57 ,Real Estate,Equity Real Estate Investment,Real Estate,3.0,53%,  13 ,  324 
BRC US Equity,USD,BRADY CORPORATION - CL A,0.1,-1.0,  2 ,  (0),28.1,  1.97 ,#VALUE!,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,5.0,110%,  13 ,  621 
BAX US Equity,USD,BAXTER INTERNATIONAL INC,1.2,#N/A N/A,  35 ,  0 ,37.4,  2.44 ,  1.26 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,19.0,64%,  13 ,  847 
RE US Equity,USD,EVEREST RE GROUP LTD,0.7,#N/A N/A,  9 ,  (0),32.0,  0.20 ,  1.15 ,Financials,Insurance,Insurance,12.0,31%,  13 ,  963 
PNC US Equity,USD,PNC FINANCIAL SERVICES GROUP,6.6,#N/A N/A,  63 ,  25 ,33.0,  1.69 ,  1.44 ,Financials,Banks,Banks,29.0,5%,  13 ,"  1,036 "
PVH US Equity,USD,PVH CORP,0.4,2.2,  9 ,  3 ,36.8,  1.03 ,  1.06 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,21.0,82%,  13 ,  154 
NTES US Equity,CNY,NETEASE INC-ADR,1.3,-3.3,  30 ,  (6),52.8,  0.74 ,  0.97 ,Communication Services,Entertainment,Media & Entertainment,26.0,85%,  13 ,  56 
WEX US Equity,USD,WEX INC,0.3,3.3,  7 ,  2 ,40.3,  0.99 ,  1.00 ,Information Technology,IT Services,Software & Services,14.0,21%,  13 ,  539 
CMA US Equity,USD,COMERICA INC,1.1,#N/A N/A,  13 ,  (1),27.6,  0.88 ,  0.98 ,Financials,Banks,Banks,29.0,5%,  13 ,"  1,034 "
QLYS US Equity,USD,QUALYS INC,0.1,-5.3,  3 ,  (0),55.7,  3.12 ,  1.64 ,Information Technology,Software,Software & Services,15.0,49%,  13 ,  544 
CTSH US Equity,USD,COGNIZANT TECH SOLUTIONS-A,2.4,-1.2,  40 ,  (4),31.5,  1.18 ,  1.32 ,Information Technology,IT Services,Software & Services,33.0,106%,  13 ,  590 
TCF US Equity,USD,TCF FINANCIAL CORP,0.5,#N/A N/A,  4 ,  1 ,32.6,  1.72 ,  2.39 ,Financials,Banks,Banks,17.0,7%,  13 ,"  1,000 "
UMBF US Equity,USD,UMB FINANCIAL CORP,0.3,#N/A N/A,  3 ,  (1),28.2,  4.98 ,  2.16 ,Financials,Banks,Banks,7.0,5%,  13 ,  915 
URBN US Equity,USD,URBAN OUTFITTERS INC,0.3,-1.4,  4 ,  (1),28.2,  1.53 ,  2.73 ,Consumer Discretionary,Specialty Retail,Retailing,24.0,188%,  13 ,  169 
LNC US Equity,USD,LINCOLN NATIONAL CORP,1.2,#N/A N/A,  14 ,  4 ,37.5,  0.74 ,  0.53 ,Financials,Insurance,Insurance,15.0,5%,  13 ,  989 
CCL US Equity,USD,CARNIVAL CORP,2.0,1.7,  41 ,  9 ,30.1,  1.38 ,  0.86 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,25.0,45%,  13 ,  170 
HSIC US Equity,USD,HENRY SCHEIN INC,0.5,2.0,  13 ,  1 ,29.0,  2.08 ,  2.31 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,20.0,166%,  13 ,  851 
ANSS US Equity,USD,ANSYS INC,0.4,-1.5,  13 ,  (1),45.8,  4.57 ,  2.70 ,Information Technology,Software,Software & Services,17.0,40%,  13 ,  550 
NDAQ US Equity,USD,NASDAQ INC,0.9,2.7,  14 ,  4 ,25.3,  1.94 ,  1.85 ,Financials,Capital Markets,Diversified Financials,14.0,17%,  13 ,  985 
PPL US Equity,USD,PPL CORP,-0.4,5.1,  22 ,  21 ,24.7,  3.55 ,  2.56 ,Utilities,Electric Utilities,Utilities,16.0,19%,  13 ,  302 
HON US Equity,USD,HONEYWELL INTERNATIONAL INC,6.1,0.8,  109 ,  7 ,22.8,  (15.74),  1.69 ,Industrials,Industrial Conglomerates,Capital Goods,28.0,72%,  13 ,  756 
CMG US Equity,USD,CHIPOTLE MEXICAN GRILL INC,0.3,-1.4,  13 ,  (1),30.3,  0.96 ,  1.12 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,34.0,221%,  13 ,  199 
NTAP US Equity,USD,NETAPP INC,1.2,-1.7,  18 ,  (3),59.6,  1.22 ,  0.77 ,Information Technology,"Technology Hardware, Storage &",Technology Hardware & Equipmen,30.0,65%,  13 ,  585 
FTNT US Equity,USD,FORTINET INC,0.6,-6.7,  12 ,  (1),59.0,  2.39 ,  1.76 ,Information Technology,Software,Software & Services,30.0,66%,  13 ,  584 
TSU US Equity,BRL,TIM PARTICIPACOES SA-ADR,0.7,0.4,  8 ,  1 ,48.4,  1.02 ,  0.37 ,Communication Services,Wireless Telecommunication Ser,Telecommunication Services,14.0,53%,  13 ,  38 
YPF US Equity,ARS,YPF S.A.-SPONSORED ADR,0.3,2.5,  6 ,  8 ,48.3,  12.24 ,  0.09 ,Energy,"Oil, Gas & Consumable Fuels",Energy,17.0,47%,  13 ,"  1,060 "
WEC US Equity,USD,WEC ENERGY GROUP INC,0.2,4.6,  22 ,  11 ,19.5,  3.74 ,  2.86 ,Utilities,Multi-Utilities,Utilities,16.0,24%,  14 ,  304 
ADI US Equity,USD,ANALOG DEVICES INC,2.2,2.2,  33 ,  7 ,37.6,  149.55 ,  2.80 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,27.0,30%,  14 ,  575 
IVZ US Equity,USD,INVESCO LTD,0.9,3.8,  8 ,  5 ,37.6,  1.80 ,  0.50 ,Financials,Capital Markets,Diversified Financials,17.0,17%,  14 ,"  1,005 "
SWK US Equity,USD,STANLEY BLACK & DECKER INC,0.5,2.6,  19 ,  3 ,42.0,  1.90 ,  1.31 ,Industrials,Machinery,Capital Goods,21.0,68%,  14 ,  734 
RJF US Equity,USD,RAYMOND JAMES FINANCIAL INC,0.7,-0.2,  11 ,  (0),36.3,  1.08 ,  0.87 ,Financials,Capital Markets,Diversified Financials,7.0,21%,  14 ,  916 
SON US Equity,USD,SONOCO PRODUCTS CO,0.3,1.7,  6 ,  1 ,25.3,  2.83 ,  3.28 ,Materials,Containers & Packaging,Materials,13.0,116%,  14 ,  424 
EDU US Equity,USD,NEW ORIENTAL EDUCATIO-SP ADR,#N/A N/A,#N/A N/A,  9 ,  (3),74.1,  0.54 ,  0.56 ,Consumer Discretionary,Diversified Consumer Services,Consumer Services,31.0,74%,  14 ,  195 
WCG US Equity,USD,WELLCARE HEALTH PLANS INC,-0.1,-3.8,  12 ,  (3),38.3,  0.83 ,  0.84 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,18.0,173%,  14 ,  840 
PYPL US Equity,USD,PAYPAL HOLDINGS INC,3.4,-2.4,  102 ,  (5),53.5,  1.46 ,  1.20 ,Information Technology,IT Services,Software & Services,49.0,37%,  14 ,  603 
CFR US Equity,USD,CULLEN/FROST BANKERS INC,0.6,#N/A N/A,  6 ,  (4),25.4,  2.69 ,  3.11 ,Financials,Banks,Banks,16.0,4%,  14 ,  992 
SHPG US Equity,USD,SHIRE PLC-ADR,3.5,2.6,  55 ,  19 ,23.5,  2.19 ,  1.33 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",13.0,24%,  14 ,  809 
AFG US Equity,USD,AMERICAN FINANCIAL GROUP INC,2.0,#N/A N/A,  9 ,  (1),27.2,  (103.27),  (7.60),Financials,Insurance,Insurance,5.0,12%,  14 ,  898 
HUM US Equity,USD,HUMANA INC,-1.0,-2.3,  44 ,  (9),33.8,  0.85 ,  1.30 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,23.0,185%,  14 ,  871 
SSD US Equity,USD,SIMPSON MANUFACTURING CO INC,0.1,-0.8,  3 ,  (0),29.1,  0.80 ,  0.79 ,Industrials,Building Products,Capital Goods,4.0,99%,  14 ,  615 
GMED US Equity,USD,GLOBUS MEDICAL INC - A,0.1,-2.5,  5 ,  (0),42.6,  3.76 ,  2.20 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,11.0,61%,  14 ,  800 
TOL US Equity,USD,TOLL BROTHERS INC,0.4,4.1,  4 ,  3 ,49.7,  0.52 ,  1.79 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,19.0,67%,  14 ,  145 
ATO US Equity,USD,ATMOS ENERGY CORP,-0.2,3.3,  11 ,  4 ,21.7,  3.05 ,  2.20 ,Utilities,Gas Utilities,Utilities,10.0,28%,  14 ,  290 
KO US Equity,USD,COCA-COLA CO/THE,5.2,2.7,  212 ,  27 ,16.2,  3.30 ,  2.53 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",30.0,36%,  14 ,  263 
KNX US Equity,USD,KNIGHT-SWIFT TRANSPORTATION,0.0,0.9,  6 ,  1 ,47.4,  0.82 ,  0.99 ,Industrials,Road & Rail,Transportation,20.0,69%,  14 ,  729 
IRBT US Equity,USD,IROBOT CORP,0.0,-1.0,  2 ,  (0),72.9,  2.75 ,  1.48 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,10.0,159%,  14 ,  103 
BWA US Equity,USD,BORGWARNER INC,0.5,1.1,  8 ,  2 ,42.7,  1.34 ,  0.87 ,Consumer Discretionary,Auto Components,Automobiles & Components,19.0,108%,  14 ,  143 
LPT US Equity,USD,LIBERTY PROPERTY TRUST,-0.5,9.1,  6 ,  3 ,25.2,  (0.73),  4.71 ,Real Estate,Equity Real Estate Investment,Real Estate,10.0,11%,  14 ,  338 
HMC US Equity,JPY,HONDA MOTOR CO LTD-SPONS ADR,4.4,3.1,  51 ,  43 ,28.2,  3.49 ,#VALUE!,Consumer Discretionary,Automobiles,Automobiles & Components,3.0,79%,  14 ,  75 
FR US Equity,USD,FIRST INDUSTRIAL REALTY TR,-0.1,5.4,  4 ,  1 ,23.5,  (7.75),  1.74 ,Real Estate,Equity Real Estate Investment,Real Estate,9.0,13%,  14 ,  335 
ISRG US Equity,USD,INTUITIVE SURGICAL INC,1.0,-2.4,  59 ,  (2),49.0,  3.02 ,  2.41 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,20.0,55%,  14 ,  850 
EFX US Equity,USD,EQUIFAX INC,0.4,2.6,  12 ,  2 ,56.1,  5.13 ,  1.17 ,Industrials,Professional Services,Commercial & Professional Serv,17.0,48%,  14 ,  711 
TYL US Equity,USD,TYLER TECHNOLOGIES INC,0.2,-1.3,  7 ,  (0),37.2,  2.93 ,  3.15 ,Information Technology,Software,Software & Services,11.0,54%,  14 ,  523 
DVA US Equity,USD,DAVITA INC,0.8,5.1,  11 ,  9 ,49.6,  0.42 ,  0.81 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,10.0,59%,  14 ,  797 
GDOT US Equity,USD,GREEN DOT CORP-CLASS A,0.2,-7.0,  4 ,  (1),59.4,  1.77 ,  1.22 ,Financials,Consumer Finance,Diversified Financials,15.0,48%,  14 ,  986 
APD US Equity,USD,AIR PRODUCTS & CHEMICALS INC,1.2,0.1,  35 ,  0 ,22.9,  1.26 ,  1.40 ,Materials,Chemicals,Materials,24.0,47%,  14 ,  456 
WIT US Equity,INR,WIPRO LTD-ADR,1.1,-2.1,  24 ,  (2),28.7,  2.41 ,  1.91 ,Information Technology,IT Services,Software & Services,4.0,68%,  14 ,  471 
CRS US Equity,USD,CARPENTER TECHNOLOGY,0.1,1.7,  2 ,  0 ,62.1,  0.39 ,  0.52 ,Materials,Metals & Mining,Materials,7.0,76%,  14 ,  411 
PRU US Equity,USD,PRUDENTIAL FINANCIAL INC,15.0,#N/A N/A,  38 ,  12 ,33.1,  1.08 ,  0.98 ,Financials,Insurance,Insurance,18.0,7%,  14 ,"  1,009 "
MTDR US Equity,USD,MATADOR RESOURCES CO,-1.0,1.9,  3 ,  0 ,55.1,  0.47 ,  0.16 ,Energy,"Oil, Gas & Consumable Fuels",Energy,17.0,31%,  14 ,"  1,061 "
AJG US Equity,USD,ARTHUR J GALLAGHER & CO,1.0,2.6,  14 ,  1 ,19.4,  1.40 ,  1.66 ,Financials,Insurance,Insurance,16.0,48%,  14 ,  995 
JJSF US Equity,USD,J & J SNACK FOODS CORP,0.1,-1.6,  3 ,  (0),19.8,  4.83 ,  4.14 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",4.0,127%,  14 ,  214 
TTEK US Equity,USD,TETRA TECH INC,0.2,0.6,  4 ,  0 ,34.7,  2.16 ,  1.27 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,6.0,114%,  14 ,  628 
FIX US Equity,USD,COMFORT SYSTEMS USA INC,0.1,0.4,  2 ,  0 ,39.1,  1.99 ,  4.44 ,Industrials,Construction & Engineering,Capital Goods,4.0,211%,  14 ,  618 
TIF US Equity,USD,TIFFANY & CO,0.5,0.1,  13 ,  (0),42.8,  1.50 ,  1.58 ,Consumer Discretionary,Specialty Retail,Retailing,30.0,85%,  14 ,  194 
FITB US Equity,USD,FIFTH THIRD BANCORP,2.0,#N/A N/A,  18 ,  14 ,29.5,  1.10 ,  0.81 ,Financials,Banks,Banks,28.0,5%,  15 ,"  1,033 "
VMC US Equity,USD,VULCAN MATERIALS CO,0.4,2.8,  14 ,  3 ,63.1,  0.93 ,  0.88 ,Materials,Construction Materials,Materials,16.0,44%,  15 ,  442 
HBAN US Equity,USD,HUNTINGTON BANCSHARES INC,1.9,#N/A N/A,  16 ,  13 ,29.6,  0.82 ,  0.99 ,Financials,Banks,Banks,25.0,5%,  15 ,"  1,027 "
SNH US Equity,USD,SENIOR HOUSING PROP TRUST,0.0,6.8,  4 ,  4 ,31.0,  (0.42),  2.21 ,Real Estate,Equity Real Estate Investment,Real Estate,10.0,15%,  15 ,  339 
PRLB US Equity,USD,PROTO LABS INC,0.0,-1.4,  3 ,  (0),55.8,  3.14 ,  1.55 ,Industrials,Machinery,Capital Goods,6.0,80%,  15 ,  630 
ETFC US Equity,USD,E*TRADE FINANCIAL CORP,1.6,1.8,  13 ,  3 ,30.3,  1.22 ,  1.05 ,Financials,Capital Markets,Diversified Financials,13.0,5%,  15 ,  979 
CR US Equity,USD,CRANE CO,0.3,1.4,  5 ,  0 ,31.2,  1.31 ,  1.58 ,Industrials,Machinery,Capital Goods,8.0,83%,  15 ,  647 
ATR US Equity,USD,APTARGROUP INC,0.1,2.2,  7 ,  1 ,25.1,  2.05 ,  1.51 ,Materials,Containers & Packaging,Materials,12.0,79%,  15 ,  422 
LDOS US Equity,USD,LEIDOS HOLDINGS INC,0.7,2.7,  10 ,  3 ,30.8,  1.49 ,  1.24 ,Information Technology,IT Services,Software & Services,11.0,113%,  15 ,  517 
ANET US Equity,USD,ARISTA NETWORKS INC,0.4,-6.7,  18 ,  (1),57.5,  1.91 ,  1.42 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,32.0,79%,  15 ,  587 
